"","All","","White","","Other than White",""
"","%","Total unemployed","%","Total unemployed","%","Total unemployed"
"2004","12","553,800","11","449,000","24","103,800"
"2005","13","591,300","12","489,800","23","100,800"
"2006","14","637,900","13","527,700","23","109,400"
"2007","14","638,900","13","529,000","24","109,300"
"2008","15","700,200","14","572,400","26","127,400"
"2009","19","862,000","18","725,100","29","135,500"
"2010","20","862,400","18","721,100","31","140,800"
"2011","21","960,200","N/A","N/A","N/A","N/A"
"2012","21","946,200","20","778,400","33","167,400"
"2013","20","894,100","18","711,500","35","182,200"
"2014","17","742,100","16","605,200","27","134,900"
"2015","14","629,700","13","503,600","24","126,100"
"2016","13","570,300","12","450,300","23","120,000"
"2017","12","516,300","11","410,300","19","105,300"
