"Title","Percentage of adults screening positive for PTSD in the month prior to the survey by ethnicity and sex"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","1993"

"Gender","Ethnicity",""
"All","Asian","5.8"
"All","Black","8.3"
"All","Mixed/Other","5.8"
"All","White - British","4.2"
"All","White - Other","2.2"
"Men","Asian","6.1"
"Men","Black","5.1"
"Men","Mixed/Other","5.4"
"Men","White - British","3.5"
"Men","White - Other","1.8"
"Women","Asian","5.3"
"Women","Black","10.9"
"Women","Mixed/Other","6.2"
"Women","White - British","4.9"
"Women","White - Other","2.5"
