"Title","Economic inactivity among women by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification held",""
"All","All","24%"
"All","Level 4 and above","15%"
"All","Level 3","19%"
"All","Level 2","26%"
"All","Below Level 2","33%"
"All","Other qualifications","31%"
"All","No qualifications","60%"
"Asian","All","39%"
"Asian","Level 4 and above","22%"
"Asian","Level 3","30%"
"Asian","Level 2","43%"
"Asian","Below Level 2","53%"
"Asian","Other qualifications","48%"
"Asian","No qualifications","78%"
"Black","All","26%"
"Black","Level 4 and above","14%"
"Black","Level 3","22%"
"Black","Level 2","28%"
"Black","Below Level 2","33%"
"Black","Other qualifications","41%"
"Black","No qualifications","61%"
"Mixed","All","24%"
"Mixed","Level 4 and above","15%"
"Mixed","Level 3","17%"
"Mixed","Level 2","29%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","23%"
"White","Level 4 and above","14%"
"White","Level 3","18%"
"White","Level 2","25%"
"White","Below Level 2","32%"
"White","Other qualifications","26%"
"White","No qualifications","57%"
"Other","All","37%"
"Other","Level 4 and above","25%"
"Other","Level 3","35%"
"Other","Level 2","38%"
"Other","Below Level 2","?"
"Other","Other qualifications","44%"
"Other","No qualifications","70%"
