"Title","Average custodial sentence length by ethnicity of offender and type of offence"
"Location","England and Wales"
"Time period","2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","16/08/2018"

"","Asian","Black","Mixed","White","Other inc Chinese"
"","","","","",""
"Criminal damage and arson","43","30","36","30","74"
"Drug offences","42","35","34","34","32"
"Fraud Offences","23","14","17","16","15"
"Miscellaneous crimes against society","16","11","10","11","13"
"Possession of weapons","25","15","15","12","12"
"Public order offences","8","7","8","6","5"
"Robbery","52","50","56","47","60"
"Sexual offences","58","61","65","60","49"
"Theft Offences","9","11","9","9","11"
"Violence against the person","30","39","26","21","25"
