"Title","Psychotic disorder in adults by ethnicity and sex"
"Location","England"
"Time period","2007 and 2014 (combined)"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"Sex","Ethnicity",""
"All","Asian","0.9"
"All","Black","1.4"
"All","Mixed/Other","0.0"
"All","White","0.5"
"Men","Asian","1.3"
"Men","Black","3.2"
"Men","Mixed/Other","0.0"
"Men","White","0.3"
"Women","Asian","0.4"
"Women","Black","0.0"
"Women","Mixed/Other","0.0"
"Women","White","0.7"
