"Title","Employment by sector and ethnicity"
"Location","UK"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All","Indian","Pakistani/ Bangladeshi","Black","Mixed","White","Other"
"Sector","%","%","%","%","%","%","%"
"Agriculture & fishing ","1","N/A","N/A","N/A","N/A","1","0"
"Banking, finance & insurance","17","19","18","18","21","17","19"
"Construction ","7","3","2","4","4","8","4"
"Distribution, hotels & restaurants ","19","21","28","16","20","18","27"
"Energy & water ","2","1","1","1","1","2","1"
"Transport & communications","9","15","20","11","10","9","11"
"Manufacturing ","9","10","6","4","7","10","6"
"Other services ","6","3","3","5","7","6","6"
"Public administration, education & health ","30","28","24","43","30","30","28"
"Total services ","81","86","92","91","88","80","90"
