"Title","Violence involving prisoners"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","24 November 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Value","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","White","ONS 5+1 2001","Assailant","-","3383"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","White","ONS 5+1 2001","Assailant","-","4259"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","White","ONS 5+1 2001","Assailant","-","4513"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","White","ONS 5+1 2001","Assailant","-","4241"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","White","ONS 5+1 2001","Assailant","-","4491"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","White","ONS 5+1 2001","Assailant","-","4328"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","White","ONS 5+1 2001","Assailant","-","4137"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","White","ONS 5+1 2001","Assailant","71","4413"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Assailant","71.6","4437"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Assailant","77.3","4718"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Assailant","94.7","5914"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Assailant","127","8026"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Asian","ONS 5+1 2001","Assailant","-","250"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Asian","ONS 5+1 2001","Assailant","-","307"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Asian","ONS 5+1 2001","Assailant","-","336"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Asian","ONS 5+1 2001","Assailant","-","359"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Asian","ONS 5+1 2001","Assailant","-","411"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Asian","ONS 5+1 2001","Assailant","-","354"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Asian","ONS 5+1 2001","Assailant","-","406"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Asian","ONS 5+1 2001","Assailant","72.5","457"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Assailant","69.6","446"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Assailant","95.2","617"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Assailant","89.1","592"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Assailant","117.9","810"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Black","ONS 5+1 2001","Assailant","-","1116"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Black","ONS 5+1 2001","Assailant","-","1440"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Black","ONS 5+1 2001","Assailant","-","1470"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Black","ONS 5+1 2001","Assailant","-","1424"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Black","ONS 5+1 2001","Assailant","-","1696"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Black","ONS 5+1 2001","Assailant","-","1637"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Black","ONS 5+1 2001","Assailant","-","1936"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Black","ONS 5+1 2001","Assailant","182.4","2075"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Assailant","180.1","2010"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Assailant","188.1","2030"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Assailant","217.1","2325"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Assailant","285.3","3017"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Mixed","ONS 5+1 2001","Assailant","-","256"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Mixed","ONS 5+1 2001","Assailant","-","368"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Mixed","ONS 5+1 2001","Assailant","-","420"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Mixed","ONS 5+1 2001","Assailant","-","429"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Mixed","ONS 5+1 2001","Assailant","-","494"
