"Ethnicity","Age group","%","Social housing households ('000s)","All households ('000s)"
"White British"," 16 - 24","27","149","555"
"White British"," 25 - 34","17","398","2,359"
"White British"," 35 - 44","17","468","2,786"
"White British"," 45 - 54","16","602","3,724"
"White British"," 55 - 64","15","498","3,380"
"White British"," 65 or over","16","933","6,012"
"Other than White British"," 16 - 24","21","42","197"
"Other than White British"," 25 - 34","15","148","976"
"Other than White British"," 35 - 44","22","255","1,174"
"Other than White British"," 45 - 54","25","204","829"
"Other than White British"," 55 - 64","25","110","444"
"Other than White British"," 65 or over","26","123","472"
