"Title","Average trip duration to school by ethnicity over time"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"

"","All ethnic groups","Asian ","Black","Mixed ","White","Other"
"[None]","Minutes","Minutes","Minutes","Minutes","Minutes","Minutes"
"2002/06","19","18","27","21","18","22"
"2003/07","19","18","26","21","18","22"
"2004/08","19","17","26","20","19","22"
"2005/09","19","17","27","20","19","20"
"2006/10","19","18","26","20","19","21"
"2007/11","19","18","25","20","19","24"
"2008/12","19","18","25","21","19","23"
"2009/13","19","18","26","22","19","23"
"2010/14","19","19","25","22","19","22"
"2011/15","19","19","24","22","19","23"
