"Title","Average trip duration to school by ethnicity over time"
"Location","England"
"Time period","2002/06 to 2013/17 (5-year rolling average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"","All","Asian","Black","Mixed","White","Other"
"","Minutes","Minutes","Minutes","Minutes","Minutes","Minutes"
"2002/06","18","18","26","21","18","22"
"2003/07","18","17","25","21","18","22"
"2004/08","19","17","25","20","18","22"
"2005/09","19","17","26","19","19","19"
"2006/10","19","17","25","20","19","21"
"2007/11","19","18","24","20","19","23"
"2008/12","19","18","25","20","19","23"
"2009/13","19","18","25","21","19","23"
"2010/14","19","18","24","21","19","22"
"2011/15","19","18","24","21","19","23"
"2012/16","19","18","23","21","19","21"
"2013/17","19","18","23","21","19","20"
