"Ethnicity","Highest qualification held",""
"All","All","3%"
"All","Level 4 and above","3%"
"All","Level 3","3%"
"All","Level 2","4%"
"All","Below Level 2","5%"
"All","Other qualifications","3%"
"All","No qualifications","5%"
"Asian","All","5%"
"Asian","Level 4 and above","4%"
"Asian","Level 3","8%"
"Asian","Level 2","7%"
"Asian","Below Level 2","8%"
"Asian","Other qualifications","4%"
"Asian","No qualifications","4%"
"Black","All","7%"
"Black","Level 4 and above","6%"
"Black","Level 3","7%"
"Black","Level 2","9%"
"Black","Below Level 2","7%"
"Black","Other qualifications","6%"
"Black","No qualifications","6%"
"Mixed","All","5%"
"Mixed","Level 4 and above","4%"
"Mixed","Level 3","4%"
"Mixed","Level 2","8%"
"Mixed","Below Level 2","9%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","4%"
"White","All","3%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","4%"
"White","Below Level 2","4%"
"White","Other qualifications","3%"
"White","No qualifications","5%"
"Other","All","5%"
"Other","Level 4 and above","5%"
"Other","Level 3","3%"
"Other","Level 2","7%"
"Other","Below Level 2","6%"
"Other","Other qualifications","4%"
"Other","No qualifications","4%"
