"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, basis for school admission and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","Admissions basis","All","Boys","Girls"
"All","Selective schools","69","68","70"
"All","Non-selective schools in highly selective areas","47","45","49"
"All","Non-selective schools in other areas (inc. low selective areas)","50","48","52"
"All","All state-funded mainstream schools","51","49","53"
"Asian","Selective schools","71","71","72"
"Asian","Non-selective schools in highly selective areas","50","47","53"
"Asian","Non-selective schools in other areas (inc. low selective areas)","52","50","54"
"Asian","All state-funded mainstream schools","53","51","55"
"Black","Selective schools","69","69","70"
"Black","Non-selective schools in highly selective areas","50","46","53"
"Black","Non-selective schools in other areas (inc. low selective areas)","49","46","52"
"Black","All state-funded mainstream schools","50","47","52"
"Chinese","Selective schools","73","72","74"
"Chinese","Non-selective schools in highly selective areas","57","56","58"
"Chinese","Non-selective schools in other areas (inc. low selective areas)","61","58","63"
"Chinese","All state-funded mainstream schools","63","61","65"
"Mixed","Selective schools","70","69","71"
"Mixed","Non-selective schools in highly selective areas","48","46","50"
"Mixed","Non-selective schools in other areas (inc. low selective areas)","51","48","53"
"Mixed","All state-funded mainstream schools","51","49","53"
"White","Selective schools","68","68","69"
"White","Non-selective schools in highly selective areas","47","45","48"
"White","Non-selective schools in other areas (inc. low selective areas)","50","48","52"
"White","All state-funded mainstream schools","51","49","53"
