"Title","Pensioner households' income from occupational pensions by ethnicity over time"
"Location","UK"
"Time period","2008/09 to 2015/16"
"Data source","Pensioners’ incomes series: financial year 2015/16"
"Data source link","https://www.gov.uk/government/statistics/pensioners-incomes-series-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16/03/2017"

"Time","Ethnicity","£"
"2008/09; 2009/10; 2010/11","All","123"
"2008/09; 2009/10; 2010/11","White British","125"
"2008/09; 2009/10; 2010/11","White other","109"
"2008/09; 2009/10; 2010/11","Black","105"
"2008/09; 2009/10; 2010/11","Asian","74"
"2008/09; 2009/10; 2010/11","Other","76"
"2009/10; 2010/11; 2011/12","All","129"
"2009/10; 2010/11; 2011/12","White British","131"
"2009/10; 2010/11; 2011/12","White other","115"
"2009/10; 2010/11; 2011/12","Black","102"
"2009/10; 2010/11; 2011/12","Asian","80"
"2009/10; 2010/11; 2011/12","Other","78"
"2010/11; 2011/12; 2012/13","All","132"
"2010/11; 2011/12; 2012/13","White British","134"
"2010/11; 2011/12; 2012/13","White other","105"
"2010/11; 2011/12; 2012/13","Black","81"
"2010/11; 2011/12; 2012/13","Asian","76"
"2010/11; 2011/12; 2012/13","Other","107"
"2011/12; 2012/13; 2013/14","All","136"
"2011/12; 2012/13; 2013/14","White British","139"
"2011/12; 2012/13; 2013/14","White other","97"
"2011/12; 2012/13; 2013/14","Black","75"
"2011/12; 2012/13; 2013/14","Asian","83"
"2011/12; 2012/13; 2013/14","Other","136"
"2012/13; 2013/14; 2014/15","All","140"
"2012/13; 2013/14; 2014/15","White British","143"
"2012/13; 2013/14; 2014/15","White other","100"
"2012/13; 2013/14; 2014/15","Black","74"
"2012/13; 2013/14; 2014/15","Asian","86"
"2012/13; 2013/14; 2014/15","Other","139"
"2013/14; 2014/15; 2015/16","All","145"
"2013/14; 2014/15; 2015/16","White British","149"
"2013/14; 2014/15; 2015/16","White other","103"
"2013/14; 2014/15; 2015/16","Black","73"
"2013/14; 2014/15; 2015/16","Asian","78"
"2013/14; 2014/15; 2015/16","Other","123"
