"Title","Pensioner households' total income by ethnicity and source of income"
"Location","UK"
"Time period","2013/14 to 2015/2016"
"Data source","Pensioners’ incomes series: financial year 2015/16"
"Data source link","https://www.gov.uk/government/statistics/pensioners-incomes-series-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16/03/2017"

"","All","Asian","Black","White British","White other","Other"
"Income source","£","£","£","£","£","£"
"Gross income value","507","395","370","513","460","520"
"Income from earnings","83","90","74","82","98","126"
"Investment income","41","24","5","42","42","39"
"Income from occupational pension","145","78","73","149","103","123"
"Personal pension income","20","5","6","20","17","15"
"Income from State Pension","170","126","130","172","142","144"
"Income from income-related benefits","22","42","55","21","36","46"
"Income from disability benefits","16","16","18","16","13","14"
"Income from other sources","4","6","2","4","4","5"
