"Title","Hazardous, harmful or probable dependent drinking by ethnicity and sex"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","29 September 2016"

"Sex","Ethnicity","%"
"All","Asian","3.7"
"All","Black","7.1"
"All","White British","22.6"
"All","White other","14.8"
"All","Other inc Mixed","9.9"
"Men","Asian","4.7"
"Men","Black","6.6"
"Men","White British","30.8"
"Men","White other","18.4"
"Men","Other inc Mixed","12.9"
"Women","Asian","2.6"
"Women","Black","7.4"
"Women","White British","14.8"
"Women","White other","11.6"
"Women","Other inc Mixed","7.2"
