"Title","Well-being: anxiety yesterday"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinganxiety"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Year","Ethnicity","Sex","NS-SEC","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size","",""
"Anxiety","2012","Arab","All","All","All","3.26","N/A","3.63","2.89","340","",""
"Anxiety","2013","Arab","All","All","All","3.57","N/A","3.97","3.17","340","",""
"Anxiety","2014","Arab","All","All","All","3.24","N/A","3.58","2.9","370","",""
"Anxiety","2015","Arab","All","All","All","3.55","N/A","3.96","3.14","370","",""
"Anxiety","2016","Arab","All","All","All","3.47","N/A","3.89","3.05","350","",""
"Anxiety","2012","Bangladeshi","All","All","All","3.22","N/A","3.51","2.94","580","",""
"Anxiety","2013","Bangladeshi","All","All","All","2.92","N/A","3.21","2.64","550","",""
"Anxiety","2014","Bangladeshi","All","All","All","2.74","N/A","3.04","2.43","560","",""
"Anxiety","2015","Bangladeshi","All","All","All","3.04","N/A","3.36","2.71","550","",""
"Anxiety","2016","Bangladeshi","All","All","All","2.97","N/A","3.29","2.66","560","",""
"Anxiety","2012","Black / African / Caribbean / Black British","All","All","All","3.18","N/A","3.31","3.06","3110","",""
"Anxiety","2013","Black / African / Caribbean / Black British","All","All","All","3.14","N/A","3.27","3.02","3080","",""
"Anxiety","2014","Black / African / Caribbean / Black British","All","All","All","2.94","N/A","3.06","2.82","3140","",""
"Anxiety","2015","Black / African / Caribbean / Black British","All","All","All","2.78","N/A","2.89","2.66","3210","",""
"Anxiety","2016","Black / African / Caribbean / Black British","All","All","All","2.88","N/A","3","2.75","3000","",""
"Anxiety","2012","Chinese","All","All","All","3.04","N/A","3.34","2.74","600","",""
"Anxiety","2013","Chinese","All","All","All","2.87","N/A","3.13","2.61","590","",""
"Anxiety","2014","Chinese","All","All","All","3","N/A","3.29","2.7","580","",""
"Anxiety","2015","Chinese","All","All","All","2.73","N/A","3.01","2.45","580","",""
"Anxiety","2016","Chinese","All","All","All","2.72","N/A","2.96","2.48","580","",""
"Anxiety","2012","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40","",""
"Anxiety","2013","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40","",""
"Anxiety","2014","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","30","",""
"Anxiety","2015","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40","",""
"Anxiety","2016","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40","",""
"Anxiety","2012","Indian","All","All","All","3.21","N/A","3.35","3.07","2740","",""
"Anxiety","2013","Indian","All","All","All","3.07","N/A","3.2","2.95","2720","",""
"Anxiety","2014","Indian","All","All","All","2.93","N/A","3.06","2.8","2870","",""
"Anxiety","2015","Indian","All","All","All","2.97","N/A","3.11","2.83","2720","",""
"Anxiety","2016","Indian","All","All","All","2.91","N/A","3.04","2.78","2710","",""
"Anxiety","2012","Mixed / Multiple ethnic groups","All","All","All","3.48","N/A","3.71","3.25","970","",""
"Anxiety","2013","Mixed / Multiple ethnic groups","All","All","All","2.86","N/A","3.09","2.63","950","",""
"Anxiety","2014","Mixed / Multiple ethnic groups","All","All","All","3.22","N/A","3.43","3.02","1050","",""
"Anxiety","2015","Mixed / Multiple ethnic groups","All","All","All","3.29","N/A","3.51","3.07","1020","",""
"Anxiety","2016","Mixed / Multiple ethnic groups","All","All","All","3.14","N/A","3.36","2.91","1000","",""
"Anxiety","2012","Other Asian background","All","All","All","3.19","N/A","3.4","2.98","1070","",""
"Anxiety","2013","Other Asian background","All","All","All","3.28","N/A","3.52","3.05","1060","",""
"Anxiety","2014","Other Asian background","All","All","All","2.92","N/A","3.14","2.7","1050","",""
"Anxiety","2015","Other Asian background","All","All","All","2.98","N/A","3.2","2.76","1080","",""
"Anxiety","2016","Other Asian background","All","All","All","2.92","N/A","3.12","2.71","1060","",""
"Anxiety","2012","Other ethnic group","All","All","All","3.45","N/A","3.65","3.24","1260","",""
"Anxiety","2013","Other ethnic group","All","All","All","3.28","N/A","3.48","3.07","1340","",""
"Anxiety","2014","Other ethnic group","All","All","All","3","N/A","3.2","2.8","1350","",""
"Anxiety","2015","Other ethnic group","All","All","All","2.86","N/A","3.04","2.68","1300","",""
"Anxiety","2016","Other ethnic group","All","All","All","2.93","N/A","3.12","2.74","1220","",""
"Anxiety","2012","Pakistani","All","All","All","3.27","N/A","3.48","3.07","1550","",""
"Anxiety","2013","Pakistani","All","All","All","3.14","N/A","3.34","2.94","1530","",""
"Anxiety","2014","Pakistani","All","All","All","3.07","N/A","3.27","2.88","1650","",""
"Anxiety","2015","Pakistani","All","All","All","2.81","N/A","3","2.62","1530","",""
"Anxiety","2016","Pakistani","All","All","All","2.99","N/A","3.17","2.82","1550","",""
"Anxiety","2012","All","All","All","All","3.03","N/A","3.05","3.02","165520","",""
"Anxiety","2013","All","All","All","All","2.95","N/A","2.97","2.93","165250","",""
"Anxiety","2014","All","All","All","All","2.89","N/A","2.9","2.87","164830","",""
"Anxiety","2015","All","All","All","All","2.85","N/A","2.87","2.84","160420","",""
"Anxiety","2016","All","All","All","All","2.89","N/A","2.91","2.87","149800","",""
"Anxiety","2012","White","All","All","All","3.01","N/A","3.03","2.99","153160","",""
"Anxiety","2013","White","All","All","All","2.93","N/A","2.95","2.91","152970","",""
"Anxiety","2014","White","All","All","All","2.87","N/A","2.89","2.86","152050","",""
"Anxiety","2015","White","All","All","All","2.84","N/A","2.86","2.83","147930","",""
"Anxiety","2016","White","All","All","All","2.88","N/A","2.9","2.86","137650","",""
"Anxiety","2012","Arab","All","All","Medium (4-5)","N/A","22.53","28.01","17.05","-","",""
"Anxiety","2012","Arab","All","All","Very Low (0-1)","N/A","34.71","42.31","27.12","-","",""
"Anxiety","2012","Arab","All","All","Low (2-3)","N/A","21.46","26.95","15.96","-","",""
