"Title","Participation in the arts in the past year, by ethnicity over time"
"Location","England"
"Time period","2005/06 to 2015/16"
"Data source","Taking Part Survey"
"Data source link","https://www.gov.uk/government/collections/sat--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","All","","White","","Other",""
"Time","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2005/06","76","28,117","77","24,038","70","4,047"
"2006/07","76","24,174","77","21,317","68","2,829"
"2007/08","77","25,720","77","22,794","71","2,880"
"2008/09","76","14,452","77","12,979","67","1,451"
"2009/10","76","6,097","77","5,455","66","630"
"2010/11","76","14,102","77","12,617","67","1,457"
"2011/12","78","9,188","79","8,301","70","871"
"2012/13","78","9,838","79","9,054","70","775"
"2013/14","78","10,355","78","9,545","70","798"
"2014/15","77","9,817","78","9,050","68","757"
"2015/16","76","10,171","78","9,312","66","850"
