"Title","Home ownership by ethnicity and age group"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7 March 2017"

"Ethnicity","Age group","%","Homeowners","All households"
"White British"," 16 - 24 yrs old","11"," 61,204 "," 547,604 "
"White British"," 25 - 34 yrs old","43"," 1,037,801 "," 2,400,150 "
"White British"," 35 - 44 yrs old","63"," 1,839,610 "," 2,909,500 "
"White British"," 45 - 54 yrs old","72"," 2,689,665 "," 3,746,787 "
"White British"," 55 - 64 yrs old","76"," 2,449,380 "," 3,240,797 "
"White British"," 65 yrs old or over","78"," 4,655,757 "," 5,963,859 "
"Other"," 16 - 24 yrs old","4"," 9,175 "," 209,064 "
"Other"," 25 - 34 yrs old","22"," 194,540 "," 888,814 "
"Other"," 35 - 44 yrs old","42"," 435,264 "," 1,043,931 "
"Other"," 45 - 54 yrs old","49"," 387,692 "," 795,069 "
"Other"," 55 - 64 yrs old","59"," 250,217 "," 426,164 "
"Other"," 65 yrs old or over","66"," 296,105 "," 445,322 "
