"Title","Firefighters by ethnicity and duty type"
"Location","England"
"Time period","2017"
"Data source","Fire and rescue workforce and pensions statistics: England April 2016 to March 2017 second edition"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/10/2017"

"Type","Ethnicity","%","Number"
"On-call ('retained') firefighters","Asian","0.2","20"
"On-call ('retained') firefighters","Black","0.2","21"
"On-call ('retained') firefighters","Mixed","0.8","82"
"On-call ('retained') firefighters","White","98.7","10,228"
"On-call ('retained') firefighters","Other inc Chinese","0.1","13"
"On-call ('retained') firefighters","Unknown","N/A","2,113"
"Full-time ('Wholetime') firefighters","Asian","0.7","151"
"Full-time ('Wholetime') firefighters","Black","1.9","407"
"Full-time ('Wholetime') firefighters","Mixed","2.0","425"
"Full-time ('Wholetime') firefighters","White","94.8","20,100"
"Full-time ('Wholetime') firefighters","Other inc Chinese","0.6","125"
"Full-time ('Wholetime') firefighters","Unknown","N/A","1,935"
