"Ethnicity","Time","%"
"All","2003","12"
"All","2004","12"
"All","2005","11"
"All","2006","11"
"All","2007","11"
"All","2008","12"
"All","2009","12"
"All","2010","11"
"All","2011","11"
"All","2012","11"
"All","2013","10"
"All","2014","10"
"All","2015","11"
"All","2016","11"
"White","2003","11"
"White","2004","11"
"White","2005","11"
"White","2006","10"
"White","2007","11"
"White","2008","11"
"White","2009","11"
"White","2010","11"
"White","2011","10"
"White","2012","10"
"White","2013","10"
"White","2014","10"
"White","2015","10"
"White","2016","10"
"Other","2003","15"
"Other","2004","16"
"Other","2005","17"
"Other","2006","18"
"Other","2007","16"
"Other","2008","18"
"Other","2009","19"
"Other","2010","19"
"Other","2011","17"
"Other","2012","18"
"Other","2013","18"
"Other","2014","17"
"Other","2015","16"
"Other","2016","17"
