"Title","Employment by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"DATE","Ethnicity","%"
"2004","All","73"
"2004","Indian","68"
"2004","Pakistani/Bangladeshi","44"
"2004","Asian other","58"
"2004","Black","60"
"2004","Mixed","62"
"2004","White British","74"
"2004","White other","71"
"2004","Other","55"
"2005","All","73"
"2005","Indian","69"
"2005","Pakistani/Bangladeshi","44"
"2005","Asian other","60"
"2005","Black","61"
"2005","Mixed","62"
"2005","White British","74"
"2005","White other","73"
"2005","Other","57"
"2006","All","73"
"2006","Indian","69"
"2006","Pakistani/Bangladeshi","45"
"2006","Asian other","60"
"2006","Black","62"
"2006","Mixed","65"
"2006","White British","74"
"2006","White other","74"
"2006","Other","55"
"2007","All","73"
"2007","Indian","69"
"2007","Pakistani/Bangladeshi","45"
"2007","Asian other","61"
"2007","Black","63"
"2007","Mixed","63"
"2007","White British","74"
"2007","White other","75"
"2007","Other","58"
"2008","All","72"
"2008","Indian","69"
"2008","Pakistani/Bangladeshi","46"
"2008","Asian other","64"
"2008","Black","61"
"2008","Mixed","60"
"2008","White British","74"
"2008","White other","75"
"2008","Other","58"
"2009","All","71"
"2009","Indian","68"
"2009","Pakistani/Bangladeshi","47"
"2009","Asian other","63"
"2009","Black","58"
"2009","Mixed","60"
"2009","White British","72"
"2009","White other","74"
"2009","Other","56"
"2010","All","70"
"2010","Indian","70"
"2010","Pakistani/Bangladeshi","46"
"2010","Asian other","59"
"2010","Black","60"
"2010","Mixed","61"
"2010","White British","72"
"2010","White other","74"
"2010","Other","56"
"2011","All","70"
"2011","Indian","N/A"
"2011","Pakistani/Bangladeshi","N/A"
"2011","Asian other","N/A"
"2011","Black","N/A"
"2011","Mixed","N/A"
"2011","White British","N/A"
"2011","White other","N/A"
"2011","Other","N/A"
"2012","All","71"
"2012","Indian","69"
"2012","Pakistani/Bangladeshi","48"
"2012","Asian other","60"
"2012","Black","60"
"2012","Mixed","60"
"2012","White British","72"
"2012","White other","75"
"2012","Other","56"
"2013","All","71"
"2013","Indian","69"
"2013","Pakistani/Bangladeshi","49"
"2013","Asian other","59"
"2013","Black","61"
"2013","Mixed","62"
"2013","White British","73"
"2013","White other","76"
"2013","Other","57"
"2014","All","72"
"2014","Indian","71"
"2014","Pakistani/Bangladeshi","52"
"2014","Asian other","62"
"2014","Black","62"
"2014","Mixed","63"
"2014","White British","74"
"2014","White other","77"
"2014","Other","57"
"2015","All","74"
"2015","Indian","71"
"2015","Pakistani/Bangladeshi","53"
"2015","Asian other","64"
"2015","Black","65"
"2015","Mixed","65"
"2015","White British","75"
"2015","White other","79"
"2015","Other","59"
"2016","All","74"
"2016","Indian","73"
"2016","Pakistani/Bangladeshi","54"
"2016","Asian other","63"
"2016","Black","67"
"2016","Mixed","64"
"2016","White British","75"
"2016","White other","80"
"2016","Other","61"
