"Title","Economic inactivity by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"DATE","Ethnicity","%"
"2004","All","24"
"2004","Indian","27"
"2004","Pakistani/Bangladeshi","49"
"2004","Asian other","36"
"2004","Black","31"
"2004","Mixed","29"
"2004","White British","22"
"2004","White other","25"
"2004","Other","38"
"2005","All","24"
"2005","Indian","26"
"2005","Pakistani/Bangladeshi","49"
"2005","Asian other","36"
"2005","Black","30"
"2005","Mixed","30"
"2005","White British","22"
"2005","White other","23"
"2005","Other","36"
"2006","All","23"
"2006","Indian","25"
"2006","Pakistani/Bangladeshi","48"
"2006","Asian other","34"
"2006","Black","28"
"2006","Mixed","27"
"2006","White British","22"
"2006","White other","21"
"2006","Other","36"
"2007","All","23"
"2007","Indian","26"
"2007","Pakistani/Bangladeshi","48"
"2007","Asian other","33"
"2007","Black","28"
"2007","Mixed","28"
"2007","White British","22"
"2007","White other","21"
"2007","Other","36"
"2008","All","23"
"2008","Indian","26"
"2008","Pakistani/Bangladeshi","46"
"2008","Asian other","31"
"2008","Black","28"
"2008","Mixed","31"
"2008","White British","22"
"2008","White other","21"
"2008","Other","35"
"2009","All","23"
"2009","Indian","25"
"2009","Pakistani/Bangladeshi","44"
"2009","Asian other","32"
"2009","Black","29"
"2009","Mixed","30"
"2009","White British","22"
"2009","White other","21"
"2009","Other","36"
"2010","All","24"
"2010","Indian","24"
"2010","Pakistani/Bangladeshi","44"
"2010","Asian other","36"
"2010","Black","28"
"2010","Mixed","28"
"2010","White British","23"
"2010","White other","21"
"2010","Other","35"
"2011","All","24"
"2011","Indian","N/A"
"2011","Pakistani/Bangladeshi","N/A"
"2011","Asian other","N/A"
"2011","Black","N/A"
"2011","Mixed","N/A"
"2011","White British","N/A"
"2011","White other","N/A"
"2011","Other","N/A"
"2012","All","23"
"2012","Indian","23"
"2012","Pakistani/Bangladeshi","42"
"2012","Asian other","34"
"2012","Black","27"
"2012","Mixed","29"
"2012","White British","22"
"2012","White other","20"
"2012","Other","35"
"2013","All","23"
"2013","Indian","24"
"2013","Pakistani/Bangladeshi","41"
"2013","Asian other","36"
"2013","Black","26"
"2013","Mixed","26"
"2013","White British","22"
"2013","White other","19"
"2013","Other","35"
"2014","All","23"
"2014","Indian","24"
"2014","Pakistani/Bangladeshi","40"
"2014","Asian other","33"
"2014","Black","27"
"2014","Mixed","28"
"2014","White British","22"
"2014","White other","19"
"2014","Other","37"
"2015","All","22"
"2015","Indian","24"
"2015","Pakistani/Bangladeshi","40"
"2015","Asian other","32"
"2015","Black","26"
"2015","Mixed","28"
"2015","White British","21"
"2015","White other","17"
"2015","Other","35"
"2016","All","22"
"2016","Indian","23"
"2016","Pakistani/Bangladeshi","39"
"2016","Asian other","34"
"2016","Black","25"
"2016","Mixed","28"
"2016","White British","21"
"2016","White other","17"
"2016","Other","34"
