"Title","Employment by type of occupation and ethnicity"
"Location","UK"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20 February 2018"

"","All","Indian","Pakistani/ Bangladeshi","Black","Mixed","White","Other"
"Occupation","%","%","%","%","%","%","%"
"Administrative & secretarial  ","10","10","9","10","8","11","7"
"Associate professional & technical ","14","13","11","12","19","15","12"
"Caring, leisure and other services","9","6","6","17","12","9","10"
"Elementary  ","11","9","11","16","11","11","14"
"Managers, directors & senior officials ","11","11","9","5","8","11","10"
"Process, plant & machine operatives ","7","6","17","6","4","6","7"
"Professional  ","20","32","18","20","22","20","24"
"Sales & consumer service  ","8","8","13","9","10","7","10"
"Skilled trades  ","11","5","6","5","7","11","7"
