"","Boys","Girls"
"Ethnicity","",""
"All","79","84"
"Asian","77","83"
"Bangladeshi","75","82"
"Indian","84","89"
"Pakistani","73","78"
"Asian other","79","86"
"Black","76","83"
"Black African","77","84"
"Black Caribbean","75","81"
"Black other","75","82"
"Chinese","83","88"
"Mixed","80","86"
"Mixed White/Asian","84","89"
"Mixed White/Black African","81","85"
"Mixed White/Black Caribbean","76","83"
"Mixed other","80","86"
"White","80","85"
"White British","81","86"
"White Irish","84","88"
"White Irish Traveller","42","52"
"White Gypsy/Roma","37","42"
"White other","74","78"
"Other","73","78"
