"Title","Science attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","FSM","Non-FSM"
"Ethnicity","",""
"All","69","84"
"Asian","72","81"
"Bangladeshi","74","80"
"Indian","77","87"
"Pakistani","69","77"
"Asian other","73","83"
"Black","73","82"
"Black African","74","83"
"Black Caribbean","71","81"
"Black other","73","80"
"Chinese","83","86"
"Mixed","73","86"
"Mixed White/Asian","73","88"
"Mixed White/Black African","74","86"
"Mixed White/Black Caribbean","71","83"
"Mixed other","74","85"
"White","67","85"
"White British","67","86"
"White Irish","67","89"
"White Irish Traveller","45","50"
"White Gypsy/Roma","43","38"
"White other","67","77"
"Other","71","77"
