"Title","People living in the most employment-deprived 10% of neighbourhoods, by ethnicity"
"Location","England"
"Time period","2012/13"
"Data source","English Indices of Deprivation 2015"
"Data source link","https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","%","Number"
"All","9.8","5,200,249"
"Asian","12.9","532,649"
"Bangladeshi","17.4","76,027"
"Chinese","7.8","29,478"
"Indian","6.6","92,159"
"Pakistani","23.7","263,405"
"Asian other","8.7","71,580"
"Black","14.7","271,242"
"Black African","14.9","145,467"
"Black Caribbean","13.7","80,967"
"Black other","16.1","44,808"
"Mixed","12.5","149,105"
"Mixed White/Asian","9.3","31,032"
"Mixed White/Black African","13.2","21,350"
"Mixed White/Black Caribbean","16.6","69,010"
"Mixed other","9.8","27,713"
"White","9.2","4,177,287"
"White British","9.3","3,944,955"
"White Irish","7.7","39,714"
"White Gypsy/Traveller","11.0","6,029"
"White other","7.7","186,589"
"Other","12.8","69,966"
"Arab","15.0","33,123"
"Any other","11.3","36,843"
