"Employment Status","Ethnicity","%"
"Unemployed","All","5.6"
"Unemployed","Bangladeshi","7.5"
"Unemployed","Chinese"," ? "
"Unemployed","Indian","4.8"
"Unemployed","Pakistani","8.5"
"Unemployed","Asian other"," ? "
"Unemployed","Black","7.1"
"Unemployed","Mixed","7.3"
"Unemployed","White","5.6"
"Unemployed","Other","3.3"
"Inactive","All","7.2"
"Inactive","Bangladeshi","7.5"
"Inactive","Chinese"," ? "
"Inactive","Indian","6.0"
"Inactive","Pakistani","7.8"
"Inactive","Asian other","4.6"
"Inactive","Black","6.4"
"Inactive","Mixed","6.7"
"Inactive","White","7.3"
"Inactive","Other","6.1"
