"Title","Percentage of young people not in employment, education, or training by ethnicity, sex and economic activity"
"Location","UK"
"Time period","2014, 2015 and 2016 (combined)"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/aboutus/whatwedo/paidservices/virtualmicrodatalaboratoryvml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Sex","Ethnicity","Unemployment","Economically Inactive"
"Male","All","6.8","5.0"
"Male","Bangladeshi"," ? "," ? "
"Male","Chinese"," ? "," ! "
"Male","Indian","6.1","4.1"
"Male","Pakistani","10.6","5.1"
"Male","Asian other"," ? "," ? "
"Male","Black","8.9","5.4"
"Male","Mixed","8.5","5.9"
"Male","White","6.8","5.0"
"Male","Other"," ? ","4.1"
"Female","All","4.4","9.4"
"Female","Bangladeshi","9.0","10.3"
"Female","Chinese"," ? "," ? "
"Female","Indian","3.5","8.2"
"Female","Pakistani","6.1","10.7"
"Female","Asian other"," ? "," ? "
"Female","Black","5.5","7.4"
"Female","Mixed","6.2","7.5"
"Female","White","4.3","9.7"
"Female","Other"," ? ","8.3"
