"Title","Grammar, punctuation and spelling attainment for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","% Higher standard","Average scaled score"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","DFE","All","All/Boys/Girls","72","%","22","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","DFE","All","All/Boys/Girls","71","%","21","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","72","%","21","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","78","%","31","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","33","%","4","97"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","22","%","2","95"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","67","%","22","103"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","75","%","25","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","69","%","18","103"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","75","%","25","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","81","%","32","106"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","77","%","27","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","79","%","30","106"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","85","%","39","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","73","%","22","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","All","All/Boys/Girls","81","%","30","106"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","All","All/Boys/Girls","82","%","37","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","All","All/Boys/Girls","75","%","24","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","All","All/Boys/Girls","67","%","16","103"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","All","All/Boys/Girls","78","%","27","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","All","All/Boys/Girls","72","%","21","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","All","All/Boys/Girls","87","%","46","108"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Other","DFE","All","All/Boys/Girls","72","%","25","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Unclassified","DFE","All","All/Boys/Girls","60","%","18","103"
