"Title","Time spent living in current home by ethnicity"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Time in current home"
"Asian",""
"Bangladeshi","9 years 1 month"
"Chinese","5 years 3 months"
"Indian","11 years 3 months"
"Pakistani","10 years"
"Asian other","7 years 6 months"
"Black",""
"Black African","6 years 11 months"
"Black Caribbean","14 years 7 months"
"Black other","8 years 5 months"
"Mixed",""
"Mixed White/Asian","9 years 2 months"
"Mixed White/Black African","6 years 11 months"
"Mixed White/Black Caribbean","8 years 11 months"
"Mixed other","8 years 6 months"
"White",""
"White British","15 years 1 month"
"White Irish","15 years 5 months"
"White Gypsy/Traveller","?"
"White other","5 years 4 months"
"Other",""
"Arab","5 years 10 months"
"Any other","6 years 11 months"
