"Title","Time spent living in current home by ethnicity and area"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Region","Time"
"White British","North East","15 years 10 months"
"White British","North West","15 years 8 months"
"White British","Yorkshire and the Humber","14 years 10 months"
"White British","East Midlands","14 years 7 months"
"White British","West Midlands","16 years 9 months"
"White British","East","15 years"
"White British","London","15 years 10 months"
"White British","South East","14 years"
"White British","South West","14 years 2 months"
"Other than White British","North East","8 years 11 months"
"Other than White British","North West","8 years  8 months"
"Other than White British","Yorkshire and the Humber","8 years 10 months"
"Other than White British","East Midlands","8 years"
"Other than White British","West Midlands","9 years 5 months"
"Other than White British","East","7 years 9 months"
"Other than White British","London","8 years 8 months"
"Other than White British","South East","7 years 4 months"
"Other than White British","South West","6 years 1 month"
