"Title","Self-harm incidents per 1,000 prisoners by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","NOMS annual offender equalities report: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnic Group","Year",""
"Asian","2011","99"
"Asian","2012","90"
"Asian","2013","98"
"Asian","2014","82"
"Asian","2015","124"
"Black","2011","63"
"Black","2012","65"
"Black","2013","70"
"Black","2014","71"
"Black","2015","81"
"Mixed","2011","153"
"Mixed","2012","136"
"Mixed","2013","204"
"Mixed","2014","229"
"Mixed","2015","274"
"White","2011","339"
"White","2012","325"
"White","2013","322"
"White","2014","361"
"White","2015","450"
"Other/Chinese","2011","127"
"Other/Chinese","2012","159"
"Other/Chinese","2013","205"
"Other/Chinese","2014","184"
"Other/Chinese","2015","225"
