"Title","Reading attainment for children aged 6 to 7 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28 September 2017"

"Ethnicity","Expected standard","Higher standard"
"All","76","25"
"Asian","77","24"
"Bangladeshi","75","22"
"Indian","83","33"
"Pakistani","72","18"
"Asian other","78","26"
"Black","77","23"
"Black African","78","24"
"Black Caribbean","74","20"
"Black other","74","22"
"Chinese","84","35"
"Mixed","78","27"
"Mixed White/Asian","81","32"
"Mixed White/Black African","77","26"
"Mixed White/Black Caribbean","73","21"
"Mixed other","79","29"
"White","76","26"
"White British","76","26"
"White Irish","77","30"
"White Irish Traveller","33","5"
"White Gypsy/Roma","27","2"
"White other","70","20"
"Other","68","18"
