"Title","Number of homeless households by ethnicity over time"
"Location","England"
"Time period","2006/07 to 2016/17"
"Data source","Homelessness statistics"
"Data source link","https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/17"

"","All","Asian","Black","Mixed","White","Other","Unknown","Ethnic minority (excl. White minorities)"
"Year","Number","Number","Number","Number","Number","Number","Number","Number"
"2006/07","73,360","4,130","7,250","1,590","54,370","2,150","3,880","15,120"
"2007/08","63,170","3,860","6,900","1,430","45,490","1,980","3,510","14,170"
"2008/09","53,430","3,310","6,630","1,440","37,310","1,930","2,820","13,310"
"2009/10","40,020","2,620","5,600","1,160","27,250","1,550","1,850","10,930"
"2010/11","44,160","2,800","6,360","1,330","29,540","1,890","2,240","12,380"
"2011/12","50,290","3,410","7,130","1,640","33,410","2,270","2,430","14,450"
"2012/13","53,770","4,180","8,210","1,740","34,600","2,270","2,770","16,400"
"2013/14","52,290","4,510","8,210","1,670","32,770","2,190","2,950","16,580"
"2014/15","54,430","4,910","8,680","1,780","33,300","2,400","3,380","17,770"
"2015/16","57,730","5,480","9,540","2,020","34,190","2,770","3,730","19,810"
"2016/17","59,100","5,560","9,330","1,990","35,890","2,820","3,510","19,700"
