"Title","Adults screening positive for bipolar disorder by ethnicity and sex"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/pubs/apmsurvey14"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"","Ethnicity","%"
"All","Asian","1.4"
"All","Black","3.5"
"All","Mixed/Other","1.8"
"All","White - British","2.0"
"All","White - Other","2.0"
"Men","Asian","2.0"
"Men","Black","2.9"
"Men","Mixed/Other","1.6"
"Men","White - British","2.3"
"Men","White - Other","3.1"
"Women","Asian","0.7"
"Women","Black","4.0"
"Women","Mixed/Other","2.0"
"Women","White - British","1.8"
"Women","White - Other","1.1"
