"Title","Young people in custody by ethnicity over time"
"Location","England and Wales"
"Time period","2005/06 to 2015/16"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","26/01/17"

"","Asian and Other","","Black","","Mixed","","White","","Unknown",""
"Year","%","Number","%","Number","%","Number","%","Number","%","Number"
"2005/06","5.2","147","12.5","355","7.0","198","71.7","2,031","3.5","100"
"2006/07","5.3","154","13.4","390","7.1","208","70.5","2,056","3.7","107"
"2007/08","4.1","119","13.6","399","7.0","206","71.2","2,087","4.1","121"
"2008/09","4.9","142","14.0","402","6.5","188","66.3","1,909","8.4","242"
"2009/10","6.0","146","14.1","340","6.9","168","67.9","1,641","5.1","123"
"2010/11","6.5","133","17.2","351","6.0","123","63.9","1,303","6.4","130"
"2011/12","6.8","134","15.7","308","6.1","119","61.9","1,216","9.5","186"
"2012/13","7.6","118","21.0","325","8.7","135","59.1","912","3.5","54"
"2013/14","8.3","101","22.4","272","9.3","113","60.0","730","0.1","1"
"2014/15","8.7","90","21.1","219","9.7","101","60.5","627","0.1","1"
"2015/16","10.4","100","21.3","204","9.8","94","58.0","556","0.5","5"
