"Title","Overcrowded households by ethnicity"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","%","Overcrowded households ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","30","37","121"
"Chinese","7","9","123"
"Indian","7","35","517"
"Pakistani","16","55","338"
"Asian other","10","20","212"
"Black","","",""
"Black African","15","60","396"
"Black Caribbean","8","23","284"
"Black other","13","4","34"
"Mixed","","",""
"Mixed White/Asian","3","2","59"
"Mixed White/Black African","8","7","78"
"Mixed White/Black Caribbean","6","6","97"
"Mixed other","3","1","44"
"White","","",""
"White British","2","306","18,816"
"White Irish","4","8","181"
"White Gypsy/Traveller","?","?","?"
"White other","7","81","1,152"
"Other","","",""
"Arab","15","10","69"
"Any other","7","16","240"
