"Title","Share of income from pensions by ethnicity over time"
"Location","United Kingdom"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16"
"","%","%","%","%","%"
"White British","16","17","17","17","17"
"White other","6","6","4","4","4"
"Mixed","5","5","5","5","6"
"Indian","5","5","6","5","6"
"Pakistani","4","4","3","3","3"
"Bangladeshi","6","8","7","5","5"
"Chinese","3","4","2","3","2"
"Asian other","4","4","4","5","4"
"Black","5","5","6","6","5"
"Other","7","7","8","7","5"
